ciudad_origen,ciudad_destino,horario_inicio,horario_final,dia_inicio,tipo,dia_final,duracion_viaje,precio
Linares,Úbeda,11:21:00,11:46:00,2024-11-01,tren,2024-11-01,25.0,10.57
Úbeda,Cabra del Santo Cristo,11:47:00,12:25:00,2024-11-01,tren,2024-11-01,38.0,13.59
Cabra del Santo Cristo,Guadix,12:26:00,13:13:00,2024-11-01,tren,2024-11-01,47.0,15.68
Guadix,Almeria,13:14:00,14:57:00,2024-11-01,tren,2024-11-01,103.0,28.67
Madrid,Alcázar de San Juan,08:20:00,09:42:00,2024-11-05,tren,2024-11-05,82.0,23.8
Alcázar de San Juan,Linares,09:43:00,11:19:00,2024-11-05,tren,2024-11-05,96.0,27.05
Linares,Úbeda,11:21:00,11:46:00,2024-11-05,tren,2024-11-05,25.0,10.57
Úbeda,Cabra del Santo Cristo,11:47:00,12:25:00,2024-11-05,tren,2024-11-05,38.0,13.59
Cabra del Santo Cristo,Guadix,12:26:00,13:13:00,2024-11-05,tren,2024-11-05,47.0,15.68
Guadix,Almeria,13:14:00,14:57:00,2024-11-05,tren,2024-11-05,103.0,28.67
Madrid,Alcázar de San Juan,08:20:00,09:42:00,2024-12-08,tren,2024-12-08,82.0,23.8
Alcázar de San Juan,Linares,09:43:00,11:19:00,2024-12-08,tren,2024-12-08,96.0,27.05
Linares,Úbeda,11:21:00,11:46:00,2024-12-08,tren,2024-12-08,25.0,10.57
Úbeda,Cabra del Santo Cristo,11:47:00,12:25:00,2024-12-08,tren,2024-12-08,38.0,13.59
Cabra del Santo Cristo,Guadix,12:26:00,13:13:00,2024-12-08,tren,2024-12-08,47.0,15.68
Guadix,Almeria,13:14:00,14:57:00,2024-12-08,tren,2024-12-08,103.0,28.67
Madrid,Alcázar de San Juan,08:20:00,09:42:00,2024-12-15,tren,2024-12-15,82.0,23.8
Alcázar de San Juan,Vilches,09:43:00,11:01:00,2024-12-15,tren,2024-12-15,78.0,22.87
Vilches,Linares,11:02:00,11:19:00,2024-12-15,tren,2024-12-15,17.0,8.71
Linares,Úbeda,11:21:00,11:46:00,2024-12-15,tren,2024-12-15,25.0,10.57
Úbeda,Cabra del Santo Cristo,11:47:00,12:25:00,2024-12-15,tren,2024-12-15,38.0,13.59
Cabra del Santo Cristo,Guadix,12:26:00,13:13:00,2024-12-15,tren,2024-12-15,47.0,15.68
Guadix,Almeria,13:14:00,14:55:00,2024-12-15,tren,2024-12-15,101.0,28.21
Almeria,Gádor,07:02:00,07:46:00,2024-10-28,tren,2024-10-28,44.0,14.98
Gádor,Fiñana,07:47:00,08:27:00,2024-10-28,tren,2024-10-28,40.0,14.05
Fiñana,Guadix,08:28:00,08:47:00,2024-10-28,tren,2024-10-28,19.0,9.18
Guadix,Morelábor,08:49:00,09:09:00,2024-10-28,tren,2024-10-28,20.0,9.41
Morelábor,Cabra del Santo Cristo,09:10:00,09:36:00,2024-10-28,tren,2024-10-28,26.0,10.8
Cabra del Santo Cristo,Úbeda,09:37:00,10:15:00,2024-10-28,tren,2024-10-28,38.0,13.59
