name,lat,lon,city,country
Estación de tren Beniel,38.0447361,-0.9994472,Beniel,España
Estación de tren Cerceda-Meirama,43.2078791,-8.4467723,Cerceda,España
Estación de tren Padron-Barbanza,42.738967,-8.652614,Padrón,España
Estación de tren Arcade,42.340549,-8.611178,Arcade,España
Estación de tren Algeciras,36.126831,-5.451108,Algeciras,España
Estación de tren Ronda,36.748401,-5.16197,Ronda,España
Estación de tren San Roque-La Linea,36.214482,-5.432399,San Roque,España
Estación de tren Marseille St Charles,43.30349,5.382236,Marseille,España
Estación de tren Aix en Provence,43.455268,5.31723,Aix-en-Provence,France
Estación de tren Avignon,43.921938,4.785813,Avignon,France
Estación de tren NIMES,43.832291,4.365845,Nîmes,France
Estación de tren Montpellier,43.604852,3.880491,Montpellier,France
Estación de tren Narbonne,43.190253,3.005716,Narbonne,France
Estación de tren Perpignan,42.696421,2.880381,Perpignan,France
Estación de tren Valence,44.991545,4.978703,Alixan,France
Estación de tren Archena-Fortuna,38.13132,-1.236037,Molina de Segura,España
Estación de tren Cieza,38.246609,-1.421702,Cieza,España
Estación de tren Hellin,38.508776,-1.688437,Hellín,España
Estación de tren Cabezon del Pisuerga,41.737276,-4.651294,Cabezón de Pisuerga,España
Estación de tren Corcos-Aguilarejo,41.766446,-4.623485,Corcos,España
Estación de tren Cubillas de Santa Marta,41.808861,-4.579754,Cubillas de Santa Marta,España
Estación de tren Duenyas,41.87048,-4.541216,Dueñas,España
Estación de tren Venta de Banyos,41.91736,-4.495844,Venta de Baños,España
Estación de tren Grijota,42.049225,-4.583954,Grijota,España
Estación de tren Becerril,42.104706,-4.64712,Becerril de Campos,España
Estación de tren Paredes de Nava,42.150694,-4.697599,Paredes de Nava,España
Estación de tren Villada,42.245238,-4.970589,Villada,España
Estación de tren Grajal,42.323246,-5.013381,Grajal de Campos,España
Estación de tren Sahagun,42.369329,-5.022667,Sahagún,España
Estación de tren El Burgo Ranero,42.425753,-5.208592,El Burgo Ranero,España
Estación de tren Palanquinos,42.460716,-5.497584,Villanueva De Las Manzanas,España
Estación de tren La Robla,42.804454,-5.626255,La Robla,España
Estación de tren La Pola de Gordon,42.854099,-5.674524,La Pola de Gordón,España
Estación de tren Santa Lucia,42.87515,-5.639613,Santa Lucía de Gordón,España
Estación de tren Villamanin,42.93671,-5.657637,Villamanín,España
Estación de tren Campomanes,43.11112,-5.814196,Campumanes,España
Estación de tren Catoira,42.672166,-8.725291,Catoira,España
Estación de tren Pontecesures,42.722985,-8.65213,Infesta,España
Estación de tren Ordes,43.037544,-8.448447,Ordes,España
Estación de tren Uxes,43.297374,-8.444404,Arteixo,España
Estación de tren Portela,42.517801,-8.654609,Santo Antoniño,España
Estación de tren Osebe,42.825298,-8.61584,Ames,España
Estación de tren Quintana-Raneros,42.550085,-5.637789,Santovenia de la Valdoncina,España
Estación de tren Villavante,42.46458,-5.838914,Santa Marina del Rey,España
Estación de tren Barrientos,42.414301,-5.963988,Valderrey,España
Estación de tren Nistal,42.424462,-6.00803,San Justo de la Vega,España
Estación de tren Montefurado,42.39402,-7.1984,Quiroga,España
Estación de tren Vilamartin de Valdeorras,42.411829,-7.061185,Vilamartín de Valdeorras,España
Estación de tren Sobradelo,42.414859,-6.911951,Sobradelo,España
Estación de tren Querenyo,42.420704,-6.829486,Rubiá,España
Estación de tren Toral de Los Vados,42.541052,-6.776703,Toral de los Vados,España
Estación de tren Villadepalos,42.53686,-6.751109,Villadepalos,España
Estación de tren Barra de Minyo,42.401095,-7.802567,Coles,España
Estación de tren Os Peares,42.451439,-7.735523,A Peroxa,España
Estación de tren San Pedro Do Sil,42.441353,-7.70412,Nogueira de Ramuín,España
Estación de tren San Estevo Do Sil,42.426921,-7.661676,Sober,España
Estación de tren Salvaterra de Minyo,42.08164,-8.495141,Salvaterra de Miño,España
Estación de tren As Neves,42.075462,-8.420074,As Neves,España
Estación de tren Sela,42.092092,-8.355998,Arbo,España
Estación de tren Arbo,42.107058,-8.300247,O Pazo,España
Estación de tren Pousa-Crecente,42.136705,-8.234889,Crecente,España
Estación de tren Ribadavia,42.2931,-8.139261,Ribadavia,España
Estación de tren O Burgo Santiago,43.317841,-8.36875,Culleredo,España
Estación de tren Cambre,43.290502,-8.352104,Cambre,España
Estación de tren Oza Dos Rios,43.21877,-8.187111,Oza,España
Estación de tren Cesuras,43.173073,-8.2005,Oza-Cesuras,España
Estación de tren Curtis,43.127232,-8.143155,Curtis,España
Estación de tren Guitiriz,43.179058,-7.895039,Guitiriz,España
Estación de tren Baamonde,43.173405,-7.756128,Begonte,España
Estación de tren Rabade,43.121378,-7.624835,Rábade,España
Estación de tren Perlio,43.472309,-8.174837,Fene,España
Estación de tren Cabanas-Areal,43.415585,-8.168828,Cabanas,España
Estación de tren Perbes,43.378197,-8.201106,Miño,España
Estación de tren Minyo,43.349431,-8.207313,Oseiro,España
Estación de tren Neda,43.495351,-8.160967,Neda,España
Estación de tren Lalin,42.63253,-8.142715,Lalín,España
Estación de tren O Irixo,42.519719,-8.105174,O Irixo,España
Estación de tren O Carballinyo,42.43134,-8.068874,O Carballiño,España
Estación de tren A Friela-Maside,42.411401,-8.028967,Maside,España
Estación de tren Puerto Real,36.5309277,-6.1861944,Puerto Real,España
Estación de tren Lebrija,36.9299735,-6.0864165,Lebrija,España
Estación de tren Utrera,37.1845444,-5.7907966,Utrera,España
Estación de tren Dos Hermanas,37.2872,-5.9235192,Dos Hermanas,España
Estación de tren Jaen,37.779827,-3.790798,Jaén,España
Estación de tren Villa del Rio,37.981331,-4.283788,Villa del Río,España
Estación de tren Posadas,37.803986,-5.106325,Posadas,España
Estación de tren Palma del Rio,37.718081,-5.29276,Palma del Río,España
Estación de tren Penyaflor,37.707502,-5.341609,Peñaflor,España
Estación de tren Lora del Rio,37.6613027,-5.5295472,Lora del Río,España
Estación de tren Las Cabezas de San Juan,37.0193453,-5.9465554,Las Cabezas de San Juan,España
