stop_name,stop_lat,stop_lon,ciudad,país
Estación de tren Palanquinos,42.460716,-5.497584,Villanueva De Las Manzanas,ES
Estación de tren La Robla,42.804454,-5.626255,La Robla,ES
Estación de tren La Pola de Gordon,42.854099,-5.674524,La Pola de Gordón,ES
Estación de tren Santa Lucia,42.87515,-5.639613,Santa Lucía de Gordón,ES
Estación de tren Villamanin,42.93671,-5.657637,Villamanín,ES
Estación de tren Campomanes,43.11112,-5.814196,Campumanes,ES
Estación de tren Catoira,42.672166,-8.725291,Catoira,ES
Estación de tren Pontecesures,42.722985,-8.65213,Infesta,ES
Estación de tren Ordes,43.037544,-8.448447,Ordes,ES
Estación de tren Uxes,43.297374,-8.444404,Arteixo,ES
Estación de tren Portela,42.517801,-8.654609,Santo Antoniño,ES
Estación de tren Osebe,42.825298,-8.61584,Ames,ES
Estación de tren Quintana-Raneros,42.550085,-5.637789,Santovenia de la Valdoncina,ES
Estación de tren Villavante,42.46458,-5.838914,Santa Marina del Rey,ES
Estación de tren Barrientos,42.414301,-5.963988,Valderrey,ES
Estación de tren Nistal,42.424462,-6.00803,San Justo de la Vega,ES
Estación de tren Montefurado,42.39402,-7.1984,Quiroga,ES
Estación de tren Vilamartin de Valdeorras,42.411829,-7.061185,Vilamartín de Valdeorras,ES
Estación de tren Sobradelo,42.414859,-6.911951,Sobradelo,ES
Estación de tren Querenyo,42.420704,-6.829486,Rubiá,ES
Estación de tren Toral de Los Vados,42.541052,-6.776703,Toral de los Vados,ES
Estación de tren Villadepalos,42.53686,-6.751109,Villadepalos,ES
Estación de tren Barra de Minyo,42.401095,-7.802567,Coles,ES
Estación de tren Os Peares,42.451439,-7.735523,A Peroxa,ES
Estación de tren San Pedro Do Sil,42.441353,-7.70412,Nogueira de Ramuín,ES
Estación de tren San Estevo Do Sil,42.426921,-7.661676,Sober,ES
Estación de tren Salvaterra de Minyo,42.08164,-8.495141,Salvaterra de Miño,ES
Estación de tren As Neves,42.075462,-8.420074,As Neves,ES
Estación de tren Sela,42.092092,-8.355998,Arbo,ES
Estación de tren Arbo,42.107058,-8.300247,O Pazo,ES
Estación de tren Pousa-Crecente,42.136705,-8.234889,Crecente,ES
Estación de tren Ribadavia,42.2931,-8.139261,Ribadavia,ES
Estación de tren O Burgo Santiago,43.317841,-8.36875,Culleredo,ES
Estación de tren Cambre,43.290502,-8.352104,Cambre,ES
Estación de tren Oza Dos Rios,43.21877,-8.187111,Oza,ES
Estación de tren Cesuras,43.173073,-8.2005,Oza-Cesuras,ES
Estación de tren Curtis,43.127232,-8.143155,Curtis,ES
Estación de tren Guitiriz,43.179058,-7.895039,Guitiriz,ES
Estación de tren Baamonde,43.173405,-7.756128,Begonte,ES
Estación de tren Rabade,43.121378,-7.624835,Rábade,ES
Estación de tren Perlio,43.472309,-8.174837,Fene,ES
Estación de tren Cabanas-Areal,43.415585,-8.168828,Cabanas,ES
Estación de tren Perbes,43.378197,-8.201106,Miño,ES
Estación de tren Minyo,43.349431,-8.207313,Oseiro,ES
Estación de tren Neda,43.495351,-8.160967,Neda,ES
Estación de tren Lalin,42.63253,-8.142715,Lalín,ES
Estación de tren O Irixo,42.519719,-8.105174,O Irixo,ES
Estación de tren O Carballinyo,42.43134,-8.068874,O Carballiño,ES
Estación de tren A Friela-Maside,42.411401,-8.028967,Maside,ES
Estación de tren Puerto Real,36.5309277,-6.1861944,Puerto Real,ES
Estación de tren Lebrija,36.9299735,-6.0864165,Lebrija,ES
Estación de tren Utrera,37.1845444,-5.7907966,Utrera,ES
Estación de tren Dos Hermanas,37.2872,-5.9235192,Dos Hermanas,ES
Estación de tren Jaen,37.779827,-3.790798,Jaén,ES
Estación de tren Villa del Rio,37.981331,-4.283788,Villa del Río,ES
Estación de tren Posadas,37.803986,-5.106325,Posadas,ES
Estación de tren Palma del Rio,37.718081,-5.29276,Palma del Río,ES
Estación de tren Penyaflor,37.707502,-5.341609,Peñaflor,ES
Estación de tren Lora del Rio,37.6613027,-5.5295472,Lora del Río,ES
Estación de tren Las Cabezas de San Juan,37.0193453,-5.9465554,Las Cabezas de San Juan,ES
Estación de tren San Juan del Puerto,37.311898,-6.841076,San Juan del Puerto,ES
Estación de tren Niebla,37.3587619,-6.6812578,Niebla,ES
Estación de tren Escacena,37.397812,-6.39198,Escacena del Campo,ES
Estación de tren Carrion de Los Cespedes,37.368955,-6.335088,Carrión de los Céspedes,ES
Estación de tren Benacazon,37.3567611,-6.2082805,Benacazón,ES
Estación de tren Villarrasa,37.386999,-6.598819,Villarrasa,ES
Estación de tren Osuna,37.233899,-5.115026,Osuna,ES
Estación de tren Arahal,37.268081,-5.548514,Arahal,ES
Estación de tren Marchena,37.334282,-5.425519,Marchena,ES
Estación de tren Jimena de La Frontera,36.4242,-5.434113,Los Ángeles,ES
Estación de tren Gaucin,36.540372,-5.386825,Cortes de la Frontera,ES
Estación de tren Jimera de Libar,36.660678,-5.281473,Jimera de Líbar,ES
Estación de tren Benaojan-Montejaque,36.713753,-5.246366,Benaoján,ES
Estación de tren Almargen-Canyete La Real,37.000985,-5.020111,Almargen,ES
Estación de tren Campillos,37.032231,-4.863499,Campillos,ES
Estación de tren Los Barrios,36.173998,-5.460801,Los Barrios,ES
Estación de tren Almoraima,36.27751,-5.430529,Castellar de la Frontera,ES
Estación de tren San Pablo,36.467952,-5.418921,San Pablo de Buceite,ES
Estación de tren Arriate,36.7905949,-5.140757,Arriate,ES
Estación de tren Setenil,36.863423,-5.121375,Setenil de las Bodegas,ES
Estación de tren Jabugo-Galaroza,37.928243,-6.773908,Jabugo,ES
Estación de tren Gibraleon,37.36852,-6.96207,Gibraleón,ES
Estación de tren Calanyas,37.652007,-6.875841,Calañas,ES
Estación de tren El Tamujoso,37.720339,-6.900554,El Cerro de Andévalo,ES
Estación de tren Valdelamusa,37.787111,-6.873729,Cortegana,ES
Estación de tren Almonaster-Cortegana,37.901174,-6.797372,Almonaster la Real,ES
Estación de tren Zafra,38.413635,-6.405083,Zafra,ES
Estación de tren Cumbres Mayores,38.053126,-6.631553,Cumbres Mayores,ES
Estación de tren Fregenal de La Sierra,38.167613,-6.637909,Fregenal de la Sierra,ES
Estación de tren El Chorro,36.907335,-4.759258,Álora,ES
Estación de tren Cartama,36.7337555,-4.608232,Estación de Cártama,ES
Estación de tren Aljaima,36.7331166,-4.6644194,Cártama,ES
Estación de tren Pizarra,36.7640611,-4.7116694,Pizarra,ES
Estación de tren Alora,36.819825,-4.6994424,El Puente,ES
Estación de tren Gergal,37.108847,-2.591556,Gérgal,ES
Estación de tren Benalua de Guadix,37.345277,-3.163177,Benalúa,ES
Estación de tren Iznalloz,37.395852,-3.527947,Iznalloz,ES
Estación de tren Huercal-Viator,36.885155,-2.436718,Huércal de Almería,ES
Estación de tren Sant Vicent Centre,38.3972495,-0.5326435,Sant Vicent del Raspeig / San Vicente del Raspeig,ES
Estación de tren Tortosa,40.807339,0.522937,Tortosa,ES
Estación de tren Vila-Real,39.9330222,-0.0967722,Vila-real,ES
Estación de tren Torreblanca,40.212211,0.198779,Torreblanca,ES
Estación de tren Alcala de Xivert,40.30469,0.228717,Alcalà de Xivert,ES
